Packet Index,Arrival Time,GeneratingTime,Flow Delay (sec),MulticastIdx,GWDelay,UEDelay,Protocol
178.0,26.458065033,18.2339651585,8.224099874500002,0.0,2000.0,500.0,3GPP
179.0,26.5609381199,18.3373861313,8.2235519886,0.0,2000.0,500.0,3GPP
180.0,26.6516699791,18.4452450275,8.206424951599999,0.0,2000.0,500.0,3GPP
181.0,26.7606220245,18.5486681461,8.211953878400003,0.0,2000.0,500.0,3GPP
182.0,26.8661520481,18.6517870426,8.2143650055,0.0,2000.0,500.0,3GPP
183.0,26.9695630074,18.755022049,8.2145409584,0.0,2000.0,500.0,3GPP
184.0,27.0702269077,18.8584501743,8.2117767334,0.0,2000.0,500.0,3GPP
185.0,27.2610290051,18.9611730576,8.2998559475,0.0,2000.0,500.0,3GPP
186.0,27.3719770908,19.0652389526,8.3067381382,0.0,2000.0,500.0,3GPP
187.0,27.4797730446,19.1684529781,8.311320066500002,0.0,2000.0,500.0,3GPP
188.0,27.5781610012,19.2708301544,8.307330846800003,0.0,2000.0,500.0,3GPP
189.0,27.6750760078,19.3736729622,8.3014030456,0.0,2000.0,500.0,3GPP
190.0,27.7808990479,19.4762570858,8.3046419621,0.0,2000.0,500.0,3GPP
191.0,27.8878889084,19.5798540115,8.3080348969,0.0,2000.0,500.0,3GPP
192.0,27.9887359142,19.6828131676,8.3059227466,0.0,2000.0,500.0,3GPP
193.0,28.0887200832,19.7852749825,8.3034451007,0.0,2000.0,500.0,3GPP
194.0,28.1996059418,19.8894891739,8.310116767900002,0.0,2000.0,500.0,3GPP
195.0,28.2982070446,19.99300313,8.3052039146,0.0,2000.0,500.0,3GPP
196.0,28.4025149345,20.0973341465,8.305180788000001,0.0,2000.0,500.0,3GPP
197.0,28.5027420521,20.200001955,8.3027400971,0.0,2000.0,500.0,3GPP
198.0,28.6075389385,20.3025481701,8.3049907684,0.0,2000.0,500.0,3GPP
199.0,28.7151610851,20.4061231613,8.309037923800002,0.0,2000.0,500.0,3GPP
200.0,28.821598053,20.5091581345,8.312439918499997,0.0,2000.0,500.0,3GPP
201.0,28.9316790104,20.6119201183,8.319758892100001,0.0,2000.0,500.0,3GPP
202.0,29.0316901207,20.7161791325,8.3155109882,0.0,2000.0,500.0,3GPP
203.0,34.1043879986,20.820453167,13.283934831599996,3.0,2000.0,500.0,3GPP
204.0,34.2083461285,20.9229831696,13.285362958899999,3.0,2000.0,500.0,3GPP
205.0,34.3118400574,21.025550127,13.286289930399999,3.0,2000.0,500.0,3GPP
206.0,34.4103460312,21.1287510395,13.2815949917,3.0,2000.0,500.0,3GPP
207.0,34.5153179169,21.2311761379,13.284141779000002,3.0,2000.0,500.0,3GPP
208.0,34.6215820313,21.3353941441,13.2861878872,3.0,2000.0,500.0,3GPP
209.0,34.7209730148,21.4381389618,13.282834053000002,3.0,2000.0,500.0,3GPP
210.0,34.8286519051,21.5405330658,13.288118839300004,3.0,2000.0,500.0,3GPP
211.0,34.9277369976,21.643296957,13.2844400406,3.0,2000.0,500.0,3GPP
212.0,35.0311329365,21.7459790707,13.285153865800002,3.0,2000.0,500.0,3GPP
213.0,35.1324520111,21.8486421108,13.2838099003,3.0,2000.0,500.0,3GPP
214.0,35.2351350784,21.9527549744,13.282380103999998,3.0,2000.0,500.0,3GPP
215.0,35.3379640579,22.0553870201,13.282577037800003,3.0,2000.0,500.0,3GPP
216.0,35.4428799152,22.1583280563,13.284551858900002,3.0,2000.0,500.0,3GPP
217.0,35.5494821072,22.260518074,13.2889640332,3.0,2000.0,500.0,3GPP
218.0,35.6494739056,22.3630800247,13.286393880899997,3.0,2000.0,500.0,3GPP
219.0,35.7498619556,22.4654011726,13.284460782999997,3.0,2000.0,500.0,3GPP
220.0,35.8583741188,22.5687391758,13.289634943,3.0,2000.0,500.0,3GPP
221.0,35.9614319801,22.6716840267,13.289747953400003,3.0,2000.0,500.0,3GPP
222.0,36.066576004,22.7745730877,13.2920029163,3.0,2000.0,500.0,3GPP
223.0,36.1678850651,22.8780479431,13.289837122000002,3.0,2000.0,500.0,3GPP
224.0,36.2700400353,22.9807510376,13.289288997699998,3.0,2000.0,500.0,3GPP
225.0,36.3717319965,23.0833330154,13.288398981100002,3.0,2000.0,500.0,3GPP
226.0,36.4760780335,23.1863620281,13.289716005400003,3.0,2000.0,500.0,3GPP
227.0,36.5921809673,23.2890131474,13.303167819900004,3.0,2000.0,500.0,3GPP
228.0,36.6814820766,23.3918139935,13.289668083099997,3.0,2000.0,500.0,3GPP
229.0,36.780862093,23.494202137,13.286659956000005,3.0,2000.0,500.0,3GPP
230.0,36.8895599842,23.5972790718,13.292280912399999,3.0,2000.0,500.0,3GPP
231.0,36.9898130894,23.7002940178,13.289519071600001,3.0,2000.0,500.0,3GPP
232.0,37.0956001282,23.8029220104,13.292678117799998,3.0,2000.0,500.0,3GPP
233.0,37.2018809319,23.9283189774,13.2735619545,3.0,2000.0,500.0,3GPP
234.0,37.3017909527,24.0315361023,13.270254850400004,3.0,2000.0,500.0,3GPP
235.0,37.4078350067,24.1363270283,13.271507978399999,3.0,2000.0,500.0,3GPP
236.0,37.5165309906,24.2390570641,13.277473926500004,3.0,2000.0,500.0,3GPP
237.0,37.6168029308,24.3423299789,13.274472951899998,3.0,2000.0,500.0,3GPP
238.0,37.7219150066,24.4454791546,13.276435851999999,3.0,2000.0,500.0,3GPP
239.0,37.8257551193,24.5488710403,13.276884078999998,3.0,2000.0,500.0,3GPP
240.0,37.9246098995,24.653370142,13.271239757499998,3.0,2000.0,500.0,3GPP
241.0,38.0254080296,24.7562429905,13.269165039100002,3.0,2000.0,500.0,3GPP
242.0,38.1312041283,24.8588650227,13.272339105599997,3.0,2000.0,500.0,3GPP
